sample_index,roll_id,die_index,value,held,source,rescued,rescue_kind,escape_recovered,stuck_reroll,stuck_reason,final_align,unsettled_secs,final_x,final_z,final_height,spawn_x,spawn_y,spawn_z,roll_duration_secs
10002,8029,2,3,false,batch,false,,false,false,,1.000,0.000,0.0070,-0.0100,0.0214,0.0024,0.0538,-0.0058,1.467
10003,8029,3,1,false,batch,false,,false,false,,1.000,0.000,-0.0550,0.0535,0.0214,-0.0586,0.0606,0.0546,1.467
10004,8029,4,6,false,batch,false,,false,false,,1.000,0.000,0.0613,0.0714,0.0214,0.0632,0.0640,0.0660,1.467
10000,8030,0,4,false,batch,false,,false,false,,1.000,0.000,-0.0483,-0.0531,0.0214,-0.0507,0.0696,-0.0558,0.417
10001,8030,1,6,false,batch,false,,false,false,,1.000,0.000,0.0675,-0.0876,0.0214,0.0592,0.0551,-0.0655,0.417
10002,8030,2,4,false,batch,false,,false,false,,1.000,0.000,0.0039,-0.0508,0.0214,-0.0056,0.0667,0.0113,0.417
10003,8030,3,1,false,batch,false,,false,false,,1.000,0.000,-0.0484,0.0920,0.0214,-0.0499,0.0657,0.0578,0.417
10004,8030,4,2,false,batch,false,,false,false,,1.000,0.000,0.0675,0.0732,0.0214,0.0624,0.0526,0.0572,0.417
10000,8031,0,5,false,batch,false,,false,false,,1.000,0.000,-0.0681,-0.0912,0.0214,-0.0531,0.0793,-0.0629,0.500
10001,8031,1,4,false,batch,true,stacked,false,false,,1.000,0.000,0.0726,-0.0779,0.0214,0.0443,0.0510,-0.0664,0.500
10002,8031,2,3,false,batch,false,,false,false,,1.000,0.000,0.0216,-0.0910,0.0214,-0.0089,0.0668,0.0039,0.500
10003,8031,3,4,false,batch,false,,false,false,,1.000,0.000,-0.0546,0.0503,0.0214,-0.0461,0.0857,0.0629,0.500
10004,8031,4,3,false,batch,false,,false,false,,1.000,0.000,0.0596,0.0757,0.0214,0.0670,0.0877,0.0655,0.500
10000,8032,0,1,false,batch,false,,false,false,,1.000,0.000,-0.0486,-0.0642,0.0214,-0.0534,0.0776,-0.0632,1.217
10001,8032,1,4,false,batch,false,,false,false,,1.000,0.000,0.0858,-0.0912,0.0214,0.0507,0.0696,-0.0475,1.217
10002,8032,2,1,false,batch,false,,false,false,,1.000,0.000,-0.0384,0.0063,0.0214,0.0083,0.0737,-0.0035,1.217
10003,8032,3,5,false,batch,false,,false,false,,1.000,0.000,-0.0956,0.0624,0.0214,-0.0515,0.0585,0.0487,1.217
